# A tibble: 10,299 x 88
# Groups:   subject, activity [180]
   subject activity TimeBodyAcceler~ TimeBodyAcceler~ TimeBodyAcceler~ TimeGravityAcce~ TimeGravityAcce~
     <int> <chr>               <dbl>            <dbl>            <dbl>            <dbl>            <dbl>
 1       1 STANDING            0.289         -0.0203            -0.133            0.963           -0.141
 2       1 STANDING            0.278         -0.0164            -0.124            0.967           -0.142
 3       1 STANDING            0.280         -0.0195            -0.113            0.967           -0.142
 4       1 STANDING            0.279         -0.0262            -0.123            0.968           -0.144
 5       1 STANDING            0.277         -0.0166            -0.115            0.968           -0.149
 6       1 STANDING            0.277         -0.0101            -0.105            0.968           -0.148
 7       1 STANDING            0.279         -0.0196            -0.110            0.968           -0.144
 8       1 STANDING            0.277         -0.0305            -0.125            0.968           -0.147
 9       1 STANDING            0.277         -0.0218            -0.121            0.968           -0.154
10       1 STANDING            0.281         -0.00996           -0.106            0.968           -0.156
# ... with 10,289 more rows, and 81 more variables: TimeGravityAccelerometer.mean...Z <dbl>,
#   TimeBodyAccelerometerJerk.mean...X <dbl>, TimeBodyAccelerometerJerk.mean...Y <dbl>,
#   TimeBodyAccelerometerJerk.mean...Z <dbl>, TimeBodyGyroscope.mean...X <dbl>, TimeBodyGyroscope.mean...Y <dbl>,
#   TimeBodyGyroscope.mean...Z <dbl>, TimeBodyGyroscopeJerk.mean...X <dbl>, TimeBodyGyroscopeJerk.mean...Y <dbl>,
#   TimeBodyGyroscopeJerk.mean...Z <dbl>, TimeBodyAccelerometerMagnitude.mean.. <dbl>,
#   TimeGravityAccelerometerMagnitude.mean.. <dbl>, TimeBodyAccelerometerJerkMagnitude.mean.. <dbl>,
#   TimeBodyGyroscopeMagnitude.mean.. <dbl>, TimeBodyGyroscopeJerkMagnitude.mean.. <dbl>,
#   FrequencyBodyAccelerometer.mean...X <dbl>, FrequencyBodyAccelerometer.mean...Y <dbl>,
#   FrequencyBodyAccelerometer.mean...Z <dbl>, FrequencyBodyAccelerometer.meanFreq...X <dbl>,
#   FrequencyBodyAccelerometer.meanFreq...Y <dbl>, FrequencyBodyAccelerometer.meanFreq...Z <dbl>,
#   FrequencyBodyAccelerometerJerk.mean...X <dbl>, FrequencyBodyAccelerometerJerk.mean...Y <dbl>,
#   FrequencyBodyAccelerometerJerk.mean...Z <dbl>, FrequencyBodyAccelerometerJerk.meanFreq...X <dbl>,
#   FrequencyBodyAccelerometerJerk.meanFreq...Y <dbl>, FrequencyBodyAccelerometerJerk.meanFreq...Z <dbl>,
#   FrequencyBodyGyroscope.mean...X <dbl>, FrequencyBodyGyroscope.mean...Y <dbl>,
#   FrequencyBodyGyroscope.mean...Z <dbl>, FrequencyBodyGyroscope.meanFreq...X <dbl>,
#   FrequencyBodyGyroscope.meanFreq...Y <dbl>, FrequencyBodyGyroscope.meanFreq...Z <dbl>,
#   FrequencyBodyAccelerometerMagnitude.mean.. <dbl>, FrequencyBodyAccelerometerMagnitude.meanFreq.. <dbl>,
#   FrequencyBodyAccelerometerJerkMagnitude.mean.. <dbl>, FrequencyBodyAccelerometerJerkMagnitude.meanFreq.. <dbl>,
#   FrequencyBodyGyroscopeMagnitude.mean.. <dbl>, FrequencyBodyGyroscopeMagnitude.meanFreq.. <dbl>,
#   FrequencyBodyGyroscopeJerkMagnitude.mean.. <dbl>, FrequencyBodyGyroscopeJerkMagnitude.meanFreq.. <dbl>,
#   Angle.TimeBodyAccelerometerMean.Gravity. <dbl>, Angle.TimeBodyAccelerometerJerkMean..GravityMean. <dbl>,
#   Angle.TimeBodyGyroscopeMean.GravityMean. <dbl>, Angle.TimeBodyGyroscopeJerkMean.GravityMean. <dbl>,
#   Angle.X.GravityMean. <dbl>, Angle.Y.GravityMean. <dbl>, Angle.Z.GravityMean. <dbl>,
#   TimeBodyAccelerometer.std...X <dbl>, TimeBodyAccelerometer.std...Y <dbl>, TimeBodyAccelerometer.std...Z <dbl>,
#   TimeGravityAccelerometer.std...X <dbl>, TimeGravityAccelerometer.std...Y <dbl>,
#   TimeGravityAccelerometer.std...Z <dbl>, TimeBodyAccelerometerJerk.std...X <dbl>,
#   TimeBodyAccelerometerJerk.std...Y <dbl>, TimeBodyAccelerometerJerk.std...Z <dbl>,
#   TimeBodyGyroscope.std...X <dbl>, TimeBodyGyroscope.std...Y <dbl>, TimeBodyGyroscope.std...Z <dbl>,
#   TimeBodyGyroscopeJerk.std...X <dbl>, TimeBodyGyroscopeJerk.std...Y <dbl>, TimeBodyGyroscopeJerk.std...Z <dbl>,
#   TimeBodyAccelerometerMagnitude.std.. <dbl>, TimeGravityAccelerometerMagnitude.std.. <dbl>,
#   TimeBodyAccelerometerJerkMagnitude.std.. <dbl>, TimeBodyGyroscopeMagnitude.std.. <dbl>,
#   TimeBodyGyroscopeJerkMagnitude.std.. <dbl>, FrequencyBodyAccelerometer.std...X <dbl>,
#   FrequencyBodyAccelerometer.std...Y <dbl>, FrequencyBodyAccelerometer.std...Z <dbl>,
#   FrequencyBodyAccelerometerJerk.std...X <dbl>, FrequencyBodyAccelerometerJerk.std...Y <dbl>,
#   FrequencyBodyAccelerometerJerk.std...Z <dbl>, FrequencyBodyGyroscope.std...X <dbl>,
#   FrequencyBodyGyroscope.std...Y <dbl>, FrequencyBodyGyroscope.std...Z <dbl>,
#   FrequencyBodyAccelerometerMagnitude.std.. <dbl>, FrequencyBodyAccelerometerJerkMagnitude.std.. <dbl>,
#   FrequencyBodyGyroscopeMagnitude.std.. <dbl>, FrequencyBodyGyroscopeJerkMagnitude.std.. <dbl>
